iter	Passed	Remaining
179	10265	80980
180	10325	80952
181	10385	80912
182	10419	80676
183	10483	80675
184	10560	80773
185	10623	80758
186	10668	80612
187	10729	80587
188	10793	80578
189	10872	80685
190	10932	80650
191	10999	80662
192	11043	80508
193	11106	80494
194	11143	80293
195	11200	80229
196	11262	80207
197	11306	80062
198	11367	80031
199	11429	80009
200	11494	80001
201	11571	80080
202	11619	79960
203	11678	79918
204	11741	79901
205	11803	79870
206	11866	79855
207	11925	79808
208	11986	79775
209	12035	79661
210	12114	79749
211	12162	79629
212	12236	79681
213	12266	79446
214	12304	79262
215	12380	79329
216	12470	79476
217	12508	79295
218	12581	79339
219	12645	79319
220	12721	79377
221	12779	79327
222	12859	79402
223	12940	79494
224	13003	79467
225	13048	79327
226	13112	79307
227	13189	79370
228	13253	79347
229	13311	79288
230	13346	79096
231	13423	79149
232	13471	79038
233	13532	78999
234	13614	79078
235	13666	78989
236	13737	79004
237	13783	78877
238	13841	78822
239	13891	78719
240	13948	78657
241	13984	78477
242	14028	78340
243	14075	78224
244	14137	78188
245	14203	78178
246	14278	78212
247	14342	78191
248	14403	78150
249	14496	78280
250	14545	78175
251	14594	78068
252	14639	77939
253	14698	77889
254	14763	77870
255	14809	77750
256	14886	77792
257	14948	77756
258	15008	77707
259	15043	77533
260	15094	77438
261	15155	77396
262	15215	77350
263	15261	77232
264	15322	77192
265	15383	77150
266	15465	77213
267	15512	77099
268	15585	77116
269	15628	76984
270	15684	76919
271	15741	76853
272	15786	76733
273	15827	76593
274	15876	76493
275	15935	76445
276	15982	76333
277	16046	76307
278	16108	76268
279	16166	76212
280	16211	76097
281	16258	75988
282	16306	75883
283	16370	75857
284	16454	75921
285	16506	75839
286	16577	75841
287	16657	75883
288	16691	75718
289	16754	75682
290	16828	75697
291	16884	75635
292	16938	75560
293	17002	75527
294	17062	75479
295	17110	75376
296	17159	75280
297	17235	75303
298	17329	75402
299	17388	75351
300	17433	75235
301	17497	75205
302	17576	75236
303	17624	75134
304	17678	75060
305	17734	74996
306	17809	75010
307	17854	74897
308	17922	74880
309	17972	74788
310	18023	74703
311	18078	74632
312	18150	74633
313	18230	74663
314	18270	74530
315	18319	74436
316	18351	74272
317	18413	74232
318	18475	74191
319	18538	74153
320	18614	74166
321	18647	74009
322	18709	73968
323	18775	73942
324	18841	73917
325	18898	73853
326	18958	73804
327	19003	73697
328	19063	73646
329	19116	73571
330	19177	73522
331	19241	73490
332	19295	73415
333	19350	73344
334	19392	73228
335	19458	73200
336	19506	73106
337	19569	73067
338	19643	73070
339	19693	72981
340	19745	72900
341	19786	72781
342	19848	72739
343	19909	72692
344	19984	72696
345	20028	72588
346	20092	72552
347	20154	72510
348	20201	72413
349	20245	72306
350	20294	72214
351	20341	72120
352	20417	72127
353	20476	72074
354	20543	72045
355	20588	71943
356	20675	71986
357	20730	71921
358	20778	71829
359	20857	71841
360	20939	71865
361	20989	71783
362	21043	71710
363	21088	71606
364	21118	71454
365	21166	71364
366	21214	71273
367	21274	71222
368	21322	71134
369	21383	71086
370	21443	71035
371	21476	70894
372	21508	70751
373	21572	70715
374	21645	70709
375	21678	70570
376	21741	70531
377	21788	70438
378	21847	70386
379	21882	70255
380	21926	70153
381	21960	70020
382	22024	69983
383	22076	69909
384	22117	69798
385	22164	69708
386	22210	69616
387	22271	69570
388	22320	69484
389	22370	69404
390	22417	69316
391	22468	69238
392	22503	69115
393	22564	69068
394	22602	68952
395	22656	68886
396	22720	68849
397	22768	68763
398	22812	68664
399	22867	68602
400	22924	68545
401	22969	68451
402	23013	68356
403	23050	68239
404	23079	68097
405	23132	68029
406	23188	67969
407	23251	67929
408	23297	67843
409	23390	67889
