iter	RMSE
0	0.3661300109
1	0.337774638
2	0.3119325507
3	0.2889961675
4	0.2694777658
5	0.2496231832
6	0.2335419331
7	0.2187332987
8	0.2053119575
9	0.1925781641
10	0.1819626306
11	0.1708759733
12	0.1605338828
13	0.1526782336
14	0.1446731222
15	0.1371433016
16	0.1304627897
17	0.1247426065
18	0.1188801848
19	0.1138102603
20	0.1094996898
21	0.1058343687
22	0.1015427483
23	0.09818817281
24	0.09435274502
25	0.0910529288
26	0.08836157103
27	0.08592487704
28	0.08326785095
29	0.08126985121
30	0.07917121333
31	0.07750665843
32	0.07580074971
33	0.07427042804
34	0.0731249358
35	0.07128661202
36	0.07002657818
37	0.06901181931
38	0.06731518114
39	0.06594338207
40	0.06511053926
41	0.06430842536
42	0.0627219929
43	0.06176512829
44	0.06108116607
45	0.06024799383
46	0.0593385855
47	0.05874419731
48	0.05826303917
49	0.05744130427
50	0.05644683271
51	0.05580989109
52	0.05514192795
53	0.05458894722
54	0.05352588727
55	0.05264480058
56	0.05197366578
57	0.05141763815
58	0.05093323382
59	0.05046189932
60	0.04993624565
61	0.04925222236
62	0.04861199475
63	0.0479971419
64	0.04752211983
65	0.04681211754
66	0.04624424498
67	0.04567919244
68	0.04522115843
69	0.0446960346
70	0.04415986341
71	0.04357899717
72	0.04318869675
73	0.04266335207
74	0.04228380667
75	0.04159630015
76	0.04076748238
77	0.04040743307
78	0.04003736094
79	0.03969638077
80	0.03909179576
81	0.03877765294
82	0.03820058095
83	0.03759594344
84	0.03712527593
85	0.03674721061
86	0.03635210316
87	0.0358863012
88	0.03553866837
89	0.03503317111
90	0.03451959905
91	0.03403122472
92	0.033481652
93	0.0330367008
94	0.0326439488
95	0.03202906184
96	0.03125019751
97	0.03098593836
98	0.03070536258
99	0.0303326658
100	0.03002225894
101	0.02963083206
102	0.02928625404
103	0.02887731832
104	0.0283932845
105	0.02807963377
106	0.02766649564
107	0.0272675576
108	0.02680560802
109	0.02632471665
110	0.02606711232
111	0.02544014121
112	0.02527722888
113	0.02491152512
114	0.02453317561
115	0.02435153942
116	0.02391493796
117	0.02361031139
118	0.02331377039
119	0.0229384386
120	0.02255017434
121	0.02229868131
122	0.02203225558
123	0.02168371676
124	0.02131456497
125	0.02103535354
126	0.02085342938
127	0.02073282272
128	0.02045621232
129	0.020191026
130	0.01993650599
131	0.01968740462
132	0.01943788692
133	0.01928914233
134	0.0190061003
135	0.01886196785
136	0.01854113082
137	0.01831747342
138	0.01815946709
139	0.0179496189
140	0.01775419843
141	0.01759594496
142	0.01739382525
143	0.01728944657
144	0.01705318932
145	0.01675751453
146	0.01657403578
147	0.01638504136
148	0.01626436385
149	0.01610456911
150	0.01600764102
151	0.01582657294
152	0.01563695333
153	0.01549782149
154	0.01529476859
155	0.01513654037
156	0.01500404155
157	0.01475299994
158	0.01465505697
159	0.01453378926
160	0.01437826042
161	0.01424237719
162	0.01407677187
163	0.01389942838
164	0.01383466835
165	0.01373330518
166	0.0135525886
167	0.01348185264
168	0.01341018484
169	0.01319643047
170	0.01304328486
171	0.01294773128
172	0.01287880295
173	0.01272207724
174	0.01247834958
175	0.01238542905
176	0.01228841847
177	0.01218274558
178	0.01203833428
179	0.0119887389
180	0.01184421515
181	0.01169613165
182	0.01152354399
183	0.01144290611
184	0.01136379591
185	0.01130097933
186	0.01119340723
187	0.0110728639
188	0.01096617865
189	0.01089751903
190	0.01075695706
191	0.01064064855
192	0.0105125658
193	0.01039284792
194	0.01030151391
195	0.01024127942
196	0.01006831676
197	0.009917764107
198	0.009789294786
199	0.00971874019
200	0.009613535642
201	0.009532676591
202	0.009497745096
203	0.009403990979
204	0.009275844026
205	0.009154161917
206	0.009040492691
